id,query,category
1,당뇨병이란 무엇인가?,정의형
2,고혈압이란 무엇인가?,정의형
3,갑상선이란 무엇인가?,정의형
4,대사증후군이란 무엇인가?,정의형
5,공황장애란 무엇인가?,정의형
6,우울증이란 무엇인가?,정의형
7,조울증이란 무엇인가?,정의형
8,ADHD란 무엇인가?,정의형
9,자폐스펙트럼이란 무엇인가?,정의형
10,치매란 무엇인가?,정의형
11,파킨슨병이란 무엇인가?,정의형
12,루푸스란 무엇인가?,정의형
13,크론병이란 무엇인가?,정의형
14,과민성대장증후군이란 무엇인가?,정의형
15,역류성식도염이란 무엇인가?,정의형
16,골다공증이란 무엇인가?,정의형
17,류마티스관절염이란 무엇인가?,정의형
18,아토피피부염이란 무엇인가?,정의형
19,건선이란 무엇인가?,정의형
20,백내장이란 무엇인가?,정의형
21,녹내장이란 무엇인가?,정의형
22,황반변성이란 무엇인가?,정의형
23,이석증이란 무엇인가?,정의형
24,메니에르병이란 무엇인가?,정의형
25,협심증이란 무엇인가?,정의형
26,심근경색이란 무엇인가?,정의형
27,뇌졸중이란 무엇인가?,정의형
28,폐렴이란 무엇인가?,정의형
29,천식이란 무엇인가?,정의형
30,COPD란 무엇인가?,정의형
31,신부전이란 무엇인가?,정의형
32,간경변이란 무엇인가?,정의형
33,지방간이란 무엇인가?,정의형
34,담석증이란 무엇인가?,정의형
35,요로결석이란 무엇인가?,정의형
36,전립선비대증이란 무엇인가?,정의형
37,자궁근종이란 무엇인가?,정의형
38,자궁내막증이란 무엇인가?,정의형
39,다낭성난소증후군이란 무엇인가?,정의형
40,갱년기증후군이란 무엇인가?,정의형
41,블록체인이란 무엇인가?,정의형
42,NFT란 무엇인가?,정의형
43,메타버스란 무엇인가?,정의형
44,양자컴퓨터란 무엇인가?,정의형
45,딥러닝이란 무엇인가?,정의형
46,머신러닝이란 무엇인가?,정의형
47,생성형AI란 무엇인가?,정의형
48,클라우드컴퓨팅이란 무엇인가?,정의형
49,엣지컴퓨팅이란 무엇인가?,정의형
50,IoT란 무엇인가?,정의형
51,5G란 무엇인가?,정의형
52,반도체란 무엇인가?,정의형
53,ESG란 무엇인가?,정의형
54,탄소중립이란 무엇인가?,정의형
55,재생에너지란 무엇인가?,정의형
56,수소경제란 무엇인가?,정의형
57,인플레이션이란 무엇인가?,정의형
58,스태그플레이션이란 무엇인가?,정의형
59,양적완화란 무엇인가?,정의형
60,기준금리란 무엇인가?,정의형
61,가계부채란 무엇인가?,정의형
62,부동산PF란 무엇인가?,정의형
63,전세사기란 무엇인가?,정의형
64,역전세란 무엇인가?,정의형
65,깡통전세란 무엇인가?,정의형
66,공매도란 무엇인가?,정의형
67,ETF란 무엇인가?,정의형
68,리츠란 무엇인가?,정의형
69,IRP란 무엇인가?,정의형
70,연금저축이란 무엇인가?,정의형
71,ISA란 무엇인가?,정의형
72,신용점수란 무엇인가?,정의형
73,DSR이란 무엇인가?,정의형
74,LTV란 무엇인가?,정의형
75,DTI란 무엇인가?,정의형
76,워라밸이란 무엇인가?,정의형
77,번아웃증후군이란 무엇인가?,정의형
78,MZ세대란 무엇인가?,정의형
79,N포세대란 무엇인가?,정의형
80,긱이코노미란 무엇인가?,정의형
81,플랫폼노동이란 무엇인가?,정의형
82,제로웨이스트란 무엇인가?,정의형
83,비건이란 무엇인가?,정의형
84,간헐적단식이란 무엇인가?,정의형
85,케톤식이란 무엇인가?,정의형
86,글루텐프리란 무엇인가?,정의형
87,저속노화란 무엇인가?,정의형
88,텔로미어란 무엇인가?,정의형
89,마이크로바이옴이란 무엇인가?,정의형
90,유전자가위란 무엇인가?,정의형
91,줄기세포란 무엇인가?,정의형
92,면역항암제란 무엇인가?,정의형
93,CAR-T치료란 무엇인가?,정의형
94,mRNA백신이란 무엇인가?,정의형
95,항생제내성이란 무엇인가?,정의형
96,슈퍼박테리아란 무엇인가?,정의형
97,희귀질환이란 무엇인가?,정의형
98,만성피로증후군이란 무엇인가?,정의형
99,섬유근육통이란 무엇인가?,정의형
100,롱코비드란 무엇인가?,정의형
101,여권 갱신 어떻게 해?,방법형
102,운전면허 갱신 어떻게 해?,방법형
103,주민등록증 재발급 어떻게 해?,방법형
104,건강보험 피부양자 등록 어떻게 해?,방법형
105,국민연금 조회 어떻게 해?,방법형
106,실업급여 신청 어떻게 해?,방법형
107,육아휴직 신청 어떻게 해?,방법형
108,출산휴가 신청 어떻게 해?,방법형
109,임대차계약 신고 어떻게 해?,방법형
110,전입신고 어떻게 해?,방법형
111,확정일자 받는 방법이 어떻게 돼?,방법형
112,전세보증보험 가입 어떻게 해?,방법형
109,종합소득세 신고 어떻게 해?,방법형
110,연말정산 어떻게 해?,방법형
111,부가가치세 신고 어떻게 해?,방법형
112,증여세 신고 어떻게 해?,방법형
113,상속세 신고 어떻게 해?,방법형
114,취득세 신고 어떻게 해?,방법형
115,재산세 납부 어떻게 해?,방법형
116,자동차세 납부 어떻게 해?,방법형
117,청약통장 만드는 방법이 어떻게 돼?,방법형
118,청약 신청 어떻게 해?,방법형
119,특례보금자리론 신청 어떻게 해?,방법형
120,디딤돌대출 신청 어떻게 해?,방법형
121,버팀목전세자금 신청 어떻게 해?,방법형
122,햇살론 신청 어떻게 해?,방법형
123,소상공인 대출 신청 어떻게 해?,방법형
124,정부지원금 신청 어떻게 해?,방법형
125,청년내일저축계좌 신청 어떻게 해?,방법형
126,근로장려금 신청 어떻게 해?,방법형
127,자녀장려금 신청 어떻게 해?,방법형
128,기초생활수급자 신청 어떻게 해?,방법형
129,장애인등록 어떻게 해?,방법형
130,노인장기요양보험 신청 어떻게 해?,방법형
131,요양원 입소 어떻게 해?,방법형
132,치매안심센터 이용 어떻게 해?,방법형
133,정신건강복지센터 이용 어떻게 해?,방법형
134,암검진 받는 방법이 어떻게 돼?,방법형
135,국가건강검진 예약 어떻게 해?,방법형
136,코로나 후유증 치료 어떻게 해?,방법형
137,대장내시경 준비 어떻게 해?,방법형
138,위내시경 준비 어떻게 해?,방법형
139,헌혈 하는 방법이 어떻게 돼?,방법형
140,장기기증 신청 어떻게 해?,방법형
141,법인 설립 어떻게 해?,방법형
142,사업자등록 어떻게 해?,방법형
143,폐업신고 어떻게 해?,방법형
144,상표등록 어떻게 해?,방법형
145,특허 출원 어떻게 해?,방법형
146,저작권 등록 어떻게 해?,방법형
147,민사소송 어떻게 해?,방법형
148,내용증명 보내는 방법이 어떻게 돼?,방법형
149,고소장 쓰는 방법이 어떻게 돼?,방법형
150,이혼 신청 어떻게 해?,방법형
151,유언장 쓰는 방법이 어떻게 돼?,방법형
152,후견인 신청 어떻게 해?,방법형
153,파산신청 어떻게 해?,방법형
154,개인회생 신청 어떻게 해?,방법형
155,신용불량자 해제 어떻게 해?,방법형
156,운전면허 취득 어떻게 해?,방법형
157,오토바이 면허 따는 방법이 어떻게 돼?,방법형
158,자동차 보험 가입 어떻게 해?,방법형
159,자동차 등록 어떻게 해?,방법형
160,자동차 이전등록 어떻게 해?,방법형
161,해외직구 방법이 어떻게 돼?,방법형
162,관세 납부 어떻게 해?,방법형
163,비자 신청 어떻게 해?,방법형
164,여행자보험 가입 어떻게 해?,방법형
165,국제운전면허증 발급 어떻게 해?,방법형
166,해외이사 어떻게 해?,방법형
167,영주권 신청 어떻게 해?,방법형
168,귀화 신청 어떻게 해?,방법형
169,병역 연기 어떻게 해?,방법형
170,예비군 훈련 연기 어떻게 해?,방법형
171,민방위 훈련 어떻게 해?,방법형
172,산재보험 신청 어떻게 해?,방법형
173,고용보험 가입 어떻게 해?,방법형
174,퇴직금 계산 어떻게 해?,방법형
175,퇴직연금 수령 어떻게 해?,방법형
176,주식 투자 시작 어떻게 해?,방법형
177,코인 거래 어떻게 해?,방법형
178,부동산 경매 참여 어떻게 해?,방법형
179,공매 참여 어떻게 해?,방법형
180,임금체불 신고 어떻게 해?,방법형
181,부당해고 구제신청 어떻게 해?,방법형
182,직장 내 괴롭힘 신고 어떻게 해?,방법형
183,성희롱 신고 어떻게 해?,방법형
184,개인정보 유출 신고 어떻게 해?,방법형
185,보이스피싱 신고 어떻게 해?,방법형
186,사기 신고 어떻게 해?,방법형
187,명예훼손 신고 어떻게 해?,방법형
188,스토킹 신고 어떻게 해?,방법형
189,학교폭력 신고 어떻게 해?,방법형
190,아동학대 신고 어떻게 해?,방법형
191,노인학대 신고 어떻게 해?,방법형
192,가정폭력 신고 어떻게 해?,방법형
193,소비자 분쟁 해결 어떻게 해?,방법형
194,환불 요청 어떻게 해?,방법형
195,제품 하자 배상 청구 어떻게 해?,방법형
196,교통사고 처리 어떻게 해?,방법형
197,보험금 청구 어떻게 해?,방법형
198,건물 누수 피해 보상 어떻게 해?,방법형
199,층간소음 해결 어떻게 해?,방법형
200,반려동물 등록 어떻게 해?,방법형
201,아이폰 vs 갤럭시 차이점이 뭐야?,비교형
202,맥북 vs 윈도우 노트북 차이점이 뭐야?,비교형
203,아이패드 vs 갤럭시탭 차이점이 뭐야?,비교형
204,애플워치 vs 갤럭시워치 차이점이 뭐야?,비교형
205,에어팟 vs 갤럭시버즈 차이점이 뭐야?,비교형
206,넷플릭스 vs 디즈니플러스 차이점이 뭐야?,비교형
207,쿠팡 vs 네이버쇼핑 차이점이 뭐야?,비교형
208,카카오페이 vs 네이버페이 차이점이 뭐야?,비교형
209,토스 vs 카카오뱅크 차이점이 뭐야?,비교형
210,케이뱅크 vs 카카오뱅크 차이점이 뭐야?,비교형
211,정기예금 vs 정기적금 차이점이 뭐야?,비교형
212,주식 vs 펀드 차이점이 뭐야?,비교형
213,ETF vs 펀드 차이점이 뭐야?,비교형
214,국채 vs 회사채 차이점이 뭐야?,비교형
215,전세 vs 월세 차이점이 뭐야?,비교형
216,아파트 vs 오피스텔 차이점이 뭐야?,비교형
217,분양권 vs 입주권 차이점이 뭐야?,비교형
218,재건축 vs 재개발 차이점이 뭐야?,비교형
219,국민연금 vs 개인연금 차이점이 뭐야?,비교형
220,연금저축보험 vs 연금저축펀드 차이점이 뭐야?,비교형
221,실손보험 vs 의료실비보험 차이점이 뭐야?,비교형
222,종신보험 vs 정기보험 차이점이 뭐야?,비교형
223,공립학교 vs 사립학교 차이점이 뭐야?,비교형
224,수능 vs 내신 차이점이 뭐야?,비교형
225,수시 vs 정시 차이점이 뭐야?,비교형
226,학종 vs 교과전형 차이점이 뭐야?,비교형
227,대학원 석사 vs 박사 차이점이 뭐야?,비교형
228,정규직 vs 계약직 차이점이 뭐야?,비교형
229,프리랜서 vs 직장인 차이점이 뭐야?,비교형
230,개인사업자 vs 법인사업자 차이점이 뭐야?,비교형
231,종합소득세 vs 근로소득세 차이점이 뭐야?,비교형
232,부가세 vs 소득세 차이점이 뭐야?,비교형
233,증여세 vs 상속세 차이점이 뭐야?,비교형
234,민사소송 vs 형사소송 차이점이 뭐야?,비교형
235,고소 vs 고발 차이점이 뭐야?,비교형
236,조정 vs 중재 차이점이 뭐야?,비교형
237,항소 vs 상고 차이점이 뭐야?,비교형
238,한의원 vs 병원 차이점이 뭐야?,비교형
239,내과 vs 가정의학과 차이점이 뭐야?,비교형
240,정신건강의학과 vs 신경과 차이점이 뭐야?,비교형
241,MRI vs CT 차이점이 뭐야?,비교형
242,엑스레이 vs 초음파 차이점이 뭐야?,비교형
243,제네릭 vs 오리지널 의약품 차이점이 뭐야?,비교형
244,양약 vs 한약 차이점이 뭐야?,비교형
245,유산소운동 vs 무산소운동 차이점이 뭐야?,비교형
246,헬스 vs 필라테스 차이점이 뭐야?,비교형
247,요가 vs 스트레칭 차이점이 뭐야?,비교형
248,단백질 보충제 vs 음식 단백질 차이점이 뭐야?,비교형
249,비타민C vs 비타민D 차이점이 뭐야?,비교형
250,오메가3 vs 오메가6 차이점이 뭐야?,비교형
251,유기농 vs 무농약 차이점이 뭐야?,비교형
252,저탄고지 vs 저지방고탄 다이어트 차이점이 뭐야?,비교형
253,간헐적단식 16:8 vs 5:2 차이점이 뭐야?,비교형
254,채식 vs 비건 차이점이 뭐야?,비교형
255,친환경 vs 재활용 차이점이 뭐야?,비교형
256,전기차 vs 수소차 차이점이 뭐야?,비교형
257,하이브리드 vs 전기차 차이점이 뭐야?,비교형
258,태양광 vs 풍력 에너지 차이점이 뭐야?,비교형
259,원자력 vs 화력발전 차이점이 뭐야?,비교형
260,GPT vs 제미나이 차이점이 뭐야?,비교형
261,클라우드 vs 온프레미스 차이점이 뭐야?,비교형
262,파이썬 vs 자바 차이점이 뭐야?,비교형
263,리눅스 vs 윈도우 차이점이 뭐야?,비교형
264,리액트 vs 뷰 차이점이 뭐야?,비교형
265,SQL vs NoSQL 차이점이 뭐야?,비교형
266,유튜브 vs 틱톡 차이점이 뭐야?,비교형
267,인스타그램 vs 스레드 차이점이 뭐야?,비교형
268,카카오톡 vs 라인 차이점이 뭐야?,비교형
269,배달의민족 vs 쿠팡이츠 차이점이 뭐야?,비교형
270,에어비앤비 vs 호텔 차이점이 뭐야?,비교형
271,초등학생 입문용 노트북 추천해줘,추천형
272,대학생 노트북 추천해줘,추천형
273,영상편집용 노트북 추천해줘,추천형
274,게이밍 노트북 추천해줘,추천형
275,사무용 노트북 추천해줘,추천형
276,가성비 스마트폰 추천해줘,추천형
277,카메라 잘 나오는 스마트폰 추천해줘,추천형
278,배터리 오래가는 스마트폰 추천해줘,추천형
279,초등학생 태블릿 추천해줘,추천형
280,드로잉용 태블릿 추천해줘,추천형
281,입문자용 DSLR 카메라 추천해줘,추천형
282,여행용 미러리스 카메라 추천해줘,추천형
283,유튜버용 카메라 추천해줘,추천형
284,블랙박스 추천해줘,추천형
285,공기청정기 추천해줘,추천형
286,로봇청소기 추천해줘,추천형
287,식기세척기 추천해줘,추천형
288,에어프라이어 추천해줘,추천형
289,커피머신 추천해줘,추천형
290,전기밥솥 추천해줘,추천형
291,직장인 건강보험 추가가입 추천해줘,추천형
292,20대 첫 자동차보험 추천해줘,추천형
293,운전초보 차 추천해줘,추천형
294,전기차 입문용 추천해줘,추천형
295,SUV 패밀리카 추천해줘,추천형
296,서울 가볼만한 곳 추천해줘,추천형
297,부산 여행지 추천해줘,추천형
298,제주도 숨은 명소 추천해줘,추천형
299,강원도 겨울여행 추천해줘,추천형
300,일본 여행 추천 도시가 어디야?,추천형
301,대만 여행 추천 코스가 어떻게 돼?,추천형
302,베트남 여행지 추천해줘,추천형
303,유럽 한달살기 추천 도시가 어디야?,추천형
304,신혼여행지 추천해줘,추천형
305,혼자 여행하기 좋은 나라 추천해줘,추천형
306,초등학생 영어 학원 선택 방법 추천해줘,추천형
307,중학생 수학 문제집 추천해줘,추천형
308,고등학생 국어 문제집 추천해줘,추천형
309,수능 영어 인강 추천해줘,추천형
310,토익 공부 방법 추천해줘,추천형
311,자격증 공부 순서 추천해줘,추천형
312,직장인 재테크 방법 추천해줘,추천형
313,사회초년생 저축 방법 추천해줘,추천형
314,30대 노후 준비 방법 추천해줘,추천형
315,소액 투자 방법 추천해줘,추천형
316,헬스 초보 루틴 추천해줘,추천형
317,홈트레이닝 운동 추천해줘,추천형
318,다이어트 식단 추천해줘,추천형
319,근육 키우는 식단 추천해줘,추천형
320,건강 영양제 추천해줘,추천형
321,수면 개선 방법 추천해줘,추천형
322,스트레스 해소 방법 추천해줘,추천형
323,명상 앱 추천해줘,추천형
324,독서 습관 만드는 방법 추천해줘,추천형
325,생산성 앱 추천해줘,추천형
326,재취업 준비 방법 추천해줘,추천형
327,이직 시기 결정 방법 추천해줘,추천형
328,면접 준비 방법 추천해줘,추천형
329,포트폴리오 만드는 방법 추천해줘,추천형
330,유튜브 채널 시작 방법 추천해줘,추천형
331,블로그 수익화 방법 추천해줘,추천형
332,스마트스토어 시작 방법 추천해줘,추천형
333,부업 종류 추천해줘,추천형
334,재능마켓 활용 방법 추천해줘,추천형
335,반려견 종류 추천해줘,추천형
336,반려묘 종류 추천해줘,추천형
337,강아지 사료 추천해줘,추천형
338,고양이 모래 추천해줘,추천형
339,식물 키우기 쉬운 종류 추천해줘,추천형
340,인테리어 소품 추천해줘,추천형
341,최근 금리 인상 이유가 뭐야?,시사형
342,한국 경제 침체 원인이 뭐야?,시사형
343,부동산 시장 전망이 어때?,시사형
344,주식시장 하락 원인이 뭐야?,시사형
345,환율 상승 원인이 뭐야?,시사형
346,물가 상승 원인이 뭐야?,시사형
347,청년 실업률 높은 이유가 뭐야?,시사형
348,저출산 원인이 뭐야?,시사형
349,고령화사회 문제점이 뭐야?,시사형
350,연금개혁 논쟁 핵심이 뭐야?,시사형
351,의대 정원 확대 논란 이유가 뭐야?,시사형
352,간호법 논란 핵심이 뭐야?,시사형
353,AI 일자리 대체 어떻게 돼?,시사형
354,ChatGPT 교육 활용 문제점이 뭐야?,시사형
355,딥페이크 범죄 현황이 어때?,시사형
356,사이버보안 위협 현황이 어때?,시사형
357,개인정보 유출 현황이 어때?,시사형
358,반도체 패권 경쟁 현황이 어때?,시사형
359,미중 무역갈등 현황이 어때?,시사형
360,러시아 우크라이나 전쟁 영향이 뭐야?,시사형
361,북한 핵 위협 현황이 어때?,시사형
362,한일 관계 최근 동향이 어때?,시사형
363,한미동맹 현황이 어때?,시사형
364,기후변화 현황이 어때?,시사형
365,탄소세 도입 논쟁이 뭐야?,시사형
366,플라스틱 규제 현황이 어때?,시사형
367,전기차 화재 원인이 뭐야?,시사형
368,자율주행차 상용화 현황이 어때?,시사형
369,배달음식 과포장 문제가 뭐야?,시사형
370,배달플랫폼 수수료 논란이 뭐야?,시사형
371,온라인 플랫폼 독과점 문제가 뭐야?,시사형
372,카카오 독점 논란 내용이 뭐야?,시사형
373,네이버 알고리즘 조작 논란이 뭐야?,시사형
374,유튜브 알고리즘 문제점이 뭐야?,시사형
375,소셜미디어 청소년 유해성 논쟁이 뭐야?,시사형
376,게임 중독 논란 현황이 어때?,시사형
377,웹툰 불법복제 문제가 뭐야?,시사형
378,OTT 시장 경쟁 현황이 어때?,시사형
379,K팝 해외 영향력 현황이 어때?,시사형
380,한국 드라마 글로벌 성공 이유가 뭐야?,시사형
381,워킹맘 육아 지원 정책 현황이 어때?,시사형
382,남성 육아휴직 현황이 어때?,시사형
383,학교 급식 논란 핵심이 뭐야?,시사형
384,사교육비 증가 원인이 뭐야?,시사형
385,대입제도 개편 논쟁이 뭐야?,시사형
386,의무교육 연한 논쟁이 뭐야?,시사형
387,최저임금 인상 논쟁이 뭐야?,시사형
388,주 4일제 도입 논쟁이 뭐야?,시사형
389,재택근무 확산 현황이 어때?,시사형
390,긱워커 권리 보호 논쟁이 뭐야?,시사형
391,노동조합 파업 현황이 어때?,시사형
392,비정규직 처우 개선 논쟁이 뭐야?,시사형
393,중대재해처벌법 논쟁이 뭐야?,시사형
394,화물연대 파업 영향이 뭐야?,시사형
395,의료파업 원인이 뭐야?,시사형
396,공공의료 강화 논쟁이 뭐야?,시사형
397,건강보험 재정 문제가 뭐야?,시사형
398,요양병원 실태 문제가 뭐야?,시사형
399,돌봄공백 문제가 뭐야?,시사형
400,지방소멸 문제가 뭐야?,시사형
401,지방소멸 원인과 대책이 뭐야?,시사형
402,수도권 집중 문제가 뭐야?,시사형
403,세종시 행정수도 논쟁이 뭐야?,시사형
404,균형발전 정책 현황이 어때?,시사형
405,지역화폐 효과가 있어?,시사형
406,소상공인 지원 정책 현황이 어때?,시사형
407,전통시장 살리기 방법이 뭐야?,시사형
408,편의점 과다출점 문제가 뭐야?,시사형
409,프랜차이즈 갑질 논란이 뭐야?,시사형
410,플랫폼 입점업체 수수료 논란이 뭐야?,시사형
411,쿠팡 물류센터 노동환경 논란이 뭐야?,시사형
412,택배기사 과로 문제가 뭐야?,시사형
413,음식배달 라이더 안전 문제가 뭐야?,시사형
414,대리운전 기사 처우 문제가 뭐야?,시사형
415,외국인 노동자 처우 문제가 뭐야?,시사형
416,이민 정책 논쟁이 뭐야?,시사형
417,다문화가정 지원 현황이 어때?,시사형
418,탈북민 정착 현황이 어때?,시사형
419,재외동포 지원 현황이 어때?,시사형
420,한국 인구절벽 전망이 어때?,시사형
421,서울 아파트 가격 전망이 어때?,시사형
422,전세제도 폐지 논쟁이 뭐야?,시사형
423,임대차3법 효과가 어때?,시사형
424,공시가격 현실화 논쟁이 뭐야?,시사형
425,종합부동산세 논쟁이 뭐야?,시사형
426,재건축 규제 완화 논쟁이 뭐야?,시사형
427,그린벨트 해제 논쟁이 뭐야?,시사형
428,신도시 개발 현황이 어때?,시사형
429,GTX 개통 효과가 뭐야?,시사형
430,광역교통망 확충 현황이 어때?,시사형
431,서울 지하철 요금 인상 이유가 뭐야?,시사형
432,대중교통 무료화 논쟁이 뭐야?,시사형
433,자전거 도로 확충 현황이 어때?,시사형
434,전동킥보드 안전 문제가 뭐야?,시사형
435,음주운전 처벌 강화 효과가 뭐야?,시사형
436,어린이보호구역 속도제한 논쟁이 뭐야?,시사형
437,학교 앞 불법주정차 문제가 뭐야?,시사형
438,층간소음 법적 기준이 뭐야?,시사형
439,반려동물 등록제 현황이 어때?,시사형
440,유기동물 안락사 논쟁이 뭐야?,시사형
441,채식급식 도입 논쟁이 뭐야?,시사형
442,식품 첨가물 안전성 논쟁이 뭐야?,시사형
443,GMO 식품 안전성 논쟁이 뭐야?,시사형
444,건강기능식품 효과 논쟁이 뭐야?,시사형
445,의약품 가격 규제 논쟁이 뭐야?,시사형
446,바이오시밀러 허가 현황이 어때?,시사형
447,첨단재생의료 현황이 어때?,시사형
448,원격진료 허용 논쟁이 뭐야?,시사형
449,의료AI 도입 현황이 어때?,시사형
450,병원 빅데이터 활용 논쟁이 뭐야?,시사형
451,ChatGPT 교육 활용 어떻게 해?,시사형
452,메타버스 교육 현황이 어때?,시사형
453,디지털교과서 도입 논쟁이 뭐야?,시사형
454,코딩 교육 의무화 논쟁이 뭐야?,시사형
455,AI 교사 대체 논쟁이 뭐야?,시사형
456,대학 무상교육 논쟁이 뭐야?,시사형
457,학자금 대출 문제가 뭐야?,시사형
458,청년 주거 지원 정책 현황이 어때?,시사형
459,청년 정신건강 위기 현황이 어때?,시사형
460,고독사 문제가 뭐야?,시사형
461,1인가구 증가 현황이 어때?,시사형
462,비혼율 증가 원인이 뭐야?,시사형
463,황혼이혼 증가 원인이 뭐야?,시사형
464,노인 빈곤 문제가 뭐야?,시사형
465,노인 일자리 현황이 어때?,시사형
466,시니어 창업 현황이 어때?,시사형
467,고령 운전자 사고 문제가 뭐야?,시사형
468,초고령사회 준비 현황이 어때?,시사형
469,호스피스 완화의료 현황이 어때?,시사형
470,존엄사 논쟁이 뭐야?,시사형
471,낙태죄 폐지 이후 현황이 어때?,시사형
472,대리모 합법화 논쟁이 뭐야?,시사형
473,동성결혼 합법화 논쟁이 뭐야?,시사형
474,성별정정 절차 논쟁이 뭐야?,시사형
475,젠더갈등 원인이 뭐야?,시사형
476,페미니즘 논쟁 현황이 어때?,시사형
477,남성혐오 여성혐오 논쟁이 뭐야?,시사형
478,직장 내 성차별 현황이 어때?,시사형
479,유리천장 현황이 어때?,시사형
480,여성 군복무 논쟁이 뭐야?,시사형
481,병역특례 폐지 논쟁이 뭐야?,시사형
482,모병제 도입 논쟁이 뭐야?,시사형
483,국방예산 증가 논쟁이 뭐야?,시사형
484,THAAD 배치 논쟁이 뭐야?,시사형
485,핵무장 논쟁이 뭐야?,시사형
486,한국 외교 전략 현황이 어때?,시사형
487,G7 가입 논쟁이 뭐야?,시사형
488,ODA 확대 논쟁이 뭐야?,시사형
489,WTO 분쟁 현황이 어때?,시사형
490,FTA 효과가 뭐야?,시사형
491,탄핵 제도 논쟁이 뭐야?,시사형
492,선거제도 개편 논쟁이 뭐야?,시사형
493,비례대표제 논쟁이 뭐야?,시사형
494,지방자치 강화 논쟁이 뭐야?,시사형
495,검찰 개혁 논쟁이 뭐야?,시사형
496,경찰 수사권 논쟁이 뭐야?,시사형
497,공수처 논쟁이 뭐야?,시사형
498,사법부 독립 논쟁이 뭐야?,시사형
499,언론 자유 현황이 어때?,시사형
500,가짜뉴스 규제 논쟁이 뭐야?,시사형
